Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
WP001,Well,Clean,44.0,13000.0,2006.0,World Bank,Free,18.0,Motorized Pump,"(-20.599463060030295, 26.696000047794744)",Functioning
WP002,Lake,Clean,13.0,13000.0,1990.0,Red Cross,Free,34.0,Hand Pump,"(-20.69129769992364, 23.313405231404484)",Not Functioning
WP003,Lake,Clean,27.0,12000.0,1997.0,Oxfam,Pay per use,27.0,Hand Pump,"(-19.830951420391948, 26.650358442338003)",Not Functioning
WP004,Well,Clean,14.0,9000.0,1992.0,Oxfam,Pay per use,32.0,,"(-22.335866062765565, 22.83485684389231)",Functioning
WP005,Lake,Clean,41.0,16000.0,2006.0,,Pay per use,18.0,Hand Pump,"(-21.099305692773278, 24.799143614430015)",Functioning
WP006,Lake,Clean,56.0,16000.0,1997.0,Oxfam,Pay per use,27.0,Motorized Pump,"(-19.226210014154592, 26.107418704785623)",Not Functioning
WP007,Well,Clean,31.0,13000.0,2020.0,Red Cross,Free,4.0,Motorized Pump,"(-22.35456558307564, 25.525971562326344)",Not Functioning
WP008,Well,Clean,12.0,17000.0,1997.0,Oxfam,Pay per use,27.0,Hand Pump,"(-21.990740822913708, 27.88903682032081)",Functioning
WP009,Well,Clean,,14000.0,2012.0,Oxfam,Pay per use,12.0,Motorized Pump,"(-20.590767402937058, 22.79901887261409)",Functioning
WP010,Lake,Clean,13.0,13000.0,1996.0,Red Cross,Pay per use,28.0,Motorized Pump,"(-21.960603675923068, 24.531981450857135)",Not Functioning
WP011,Well,Clean,28.0,13000.0,2009.0,Oxfam,Pay per use,15.0,Hand Pump,"(-20.752146661128194, 22.541997294408077)",Not Functioning
WP012,Lake,Clean,38.0,9000.0,2007.0,USAID,Pay per use,17.0,Hand Pump,"(-23.436989402331626, 20.895916127836948)",Functioning
WP013,Lake,Clean,36.0,12000.0,2002.0,Oxfam,Pay per use,22.0,Motorized Pump,"(-19.96935725883915, 28.095122998428707)",Functioning
WP014,Lake,Clean,18.0,11000.0,2013.0,Red Cross,Pay per use,11.0,Motorized Pump,"(-17.750952089415456, 24.256897769409576)",Not Functioning
WP015,River,Clean,23.0,16000.0,2005.0,USAID,Pay per use,19.0,Hand Pump,"(-21.96155388933755, 21.216006625831312)",Not Functioning
WP016,Lake,Contaminated,11.0,11000.0,2011.0,Red Cross,Pay per use,13.0,Motorized Pump,"(-18.321847743676837, 26.860945974262687)",Not Functioning
WP017,Lake,Clean,52.0,10000.0,2002.0,Red Cross,Pay per use,22.0,Motorized Pump,"(-20.657579275939565, 22.268964784977403)",Not Functioning
WP018,Well,Clean,24.0,9000.0,2020.0,Red Cross,Pay per use,4.0,Motorized Pump,"(-23.65560285238173, 19.38273769201424)",Functioning
WP019,Lake,Clean,7.0,11000.0,2010.0,,Free,14.0,Motorized Pump,"(-18.950659803286882, 24.67655505636915)",Not Functioning
WP020,Lake,Clean,46.0,,2015.0,Oxfam,Pay per use,9.0,Solar Pump,"(-21.933129489007403, 21.19426392550862)",Functioning
WP021,Well,Clean,10.0,15000.0,2020.0,,Pay per use,4.0,Motorized Pump,"(-20.863254278800817, 20.64857743170091)",Functioning
WP022,River,Clean,31.0,19000.0,2009.0,Oxfam,Free,15.0,Motorized Pump,"(-21.811696577754955, 19.37117073660823)",Functioning
WP023,Lake,Clean,31.0,9000.0,1996.0,,Pay per use,28.0,Hand Pump,"(-23.59512233279778, 20.992255417625223)",Not Functioning
WP024,Well,Clean,13.0,8000.0,2012.0,Red Cross,Free,12.0,Hand Pump,"(-22.95306772947944, 21.601063076524508)",Not Functioning
WP025,Well,Clean,50.0,12000.0,1993.0,Red Cross,Pay per use,31.0,Motorized Pump,"(-22.73092038665895, 21.248694943190625)",Not Functioning
WP026,Well,,47.0,16000.0,2020.0,Oxfam,Pay per use,4.0,Hand Pump,"(-20.549670706074142, 21.85288511033721)",Functioning
WP027,Lake,Contaminated,41.0,14000.0,2016.0,Red Cross,Pay per use,8.0,Hand Pump,"(-21.857667549369136, 24.052985928090234)",Not Functioning
WP028,River,Clean,36.0,12000.0,1992.0,Oxfam,Pay per use,32.0,Hand Pump,"(-21.22144811564434, 26.617133840427503)",Functioning
WP029,Lake,Clean,40.0,13000.0,1999.0,UNICEF,Pay per use,25.0,Solar Pump,"(-18.782661079838068, 27.148039280491624)",Not Functioning
WP030,Well,Clean,14.0,9000.0,2020.0,,,4.0,Hand Pump,"(-21.78627120185816, 19.622356148070395)",Not Functioning
WP031,Well,Clean,19.0,13000.0,2011.0,Oxfam,Pay per use,13.0,Hand Pump,"(-22.201541705798842, 26.314596461162644)",Functioning
WP032,Well,Clean,34.0,11000.0,2013.0,Oxfam,Pay per use,11.0,Motorized Pump,"(-21.739651064201293, 22.072722569052278)",Functioning
WP033,River,Clean,40.0,,2000.0,Red Cross,Pay per use,24.0,Hand Pump,"(-23.09549187835772, 22.067028905048662)",Functioning
WP034,Well,Clean,39.0,15000.0,1995.0,Red Cross,Pay per use,29.0,Solar Pump,"(-23.35006709247912, 22.382668723451552)",Functioning
WP035,Lake,Clean,39.0,16000.0,2007.0,Oxfam,Pay per use,17.0,Motorized Pump,"(-23.443201863047054, 24.173975811013914)",
WP036,River,Clean,16.0,16000.0,1990.0,Oxfam,Pay per use,34.0,Motorized Pump,"(-22.404047818166784, 24.23043200841005)",Not Functioning
WP037,Well,Clean,42.0,14000.0,2005.0,USAID,,19.0,Hand Pump,"(-18.407900461135327, 28.49009323025811)",Not Functioning
WP038,Lake,Clean,53.0,9000.0,2012.0,USAID,Pay per use,12.0,Hand Pump,"(-23.26553005531854, 19.39941102182446)",Functioning
WP039,Lake,Clean,,8000.0,1991.0,Oxfam,Pay per use,33.0,Hand Pump,"(-21.272454516399456, 22.29752842538962)",Functioning
WP040,Well,Clean,56.0,15000.0,2014.0,USAID,,10.0,Solar Pump,"(-23.67471896185801, 20.186024104206158)",Functioning
WP041,Lake,Clean,37.0,17000.0,1992.0,Red Cross,Pay per use,32.0,Hand Pump,"(-19.559240968317972, 26.812256740089)",Functioning
WP042,Well,Clean,13.0,16000.0,2015.0,USAID,Pay per use,9.0,Hand Pump,"(-21.375987974914615, 25.22127203891934)",Not Functioning
WP043,Lake,Clean,16.0,14000.0,2002.0,World Bank,Free,22.0,Motorized Pump,"(-20.254800679114567, 24.203274797959608)",Not Functioning
WP044,Lake,Clean,44.0,17000.0,,UNICEF,Pay per use,13.0,Hand Pump,"(-17.571752369325818, 28.684356010622757)",Not Functioning
WP045,Well,Clean,43.0,15000.0,1994.0,USAID,Pay per use,30.0,Hand Pump,"(-22.294939485730886, 19.30733909095263)",Not Functioning
WP046,Well,,53.0,12000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-18.00049349157433, 26.05382449964293)",Functioning
WP047,Well,Clean,21.0,12000.0,2011.0,USAID,Pay per use,13.0,Hand Pump,"(-22.1337878913248, 19.790033022379603)",Functioning
WP048,Well,Clean,45.0,11000.0,1999.0,Oxfam,Pay per use,25.0,Motorized Pump,"(-18.924220135818143, 24.68132626124362)",Functioning
WP049,Well,Clean,37.0,16000.0,2005.0,Red Cross,Pay per use,19.0,Hand Pump,"(-22.58920000607197, 25.642543117056913)",Not Functioning
WP050,Lake,Clean,14.0,13000.0,2011.0,Oxfam,Pay per use,13.0,Motorized Pump,"(-19.29961120287658, 19.027678625119304)",Not Functioning
WP051,Lake,Clean,,13000.0,2006.0,Oxfam,Free,18.0,Hand Pump,"(-22.368036767764846, 26.62281370894722)",Functioning
WP052,Lake,Clean,16.0,9000.0,2004.0,Oxfam,Pay per use,20.0,Hand Pump,"(-21.976436682882625, 26.739346559259275)",Not Functioning
WP053,Lake,Clean,,17000.0,1996.0,Red Cross,Pay per use,28.0,,"(-20.417904501023276, 27.230122959813958)",Not Functioning
WP054,River,Clean,33.0,17000.0,2000.0,USAID,Free,24.0,Hand Pump,"(-18.26690925701782, 27.291127451420806)",Not Functioning
WP055,Lake,Contaminated,12.0,16000.0,2003.0,UNICEF,Pay per use,21.0,Motorized Pump,"(-22.447618484495386, 23.82260425105648)",Not Functioning
WP056,Well,Clean,,13000.0,2008.0,Oxfam,Pay per use,16.0,Solar Pump,"(-21.899583077611027, 21.499118911423032)",Functioning
WP057,Lake,Clean,39.0,12000.0,2002.0,UNICEF,Pay per use,22.0,Hand Pump,,Not Functioning
WP058,River,Contaminated,63.0,9000.0,1993.0,USAID,Pay per use,31.0,Hand Pump,"(-19.32602981886737, 27.269642999521167)",Functioning
,Lake,Clean,,13000.0,2007.0,Oxfam,Free,17.0,Hand Pump,"(-21.693547683947557, 19.27463145198354)",Not Functioning
WP060,Lake,Clean,,14000.0,2014.0,Oxfam,Pay per use,10.0,Hand Pump,"(-18.880173481834763, 20.287744079754212)",Not Functioning
WP061,Well,Clean,36.0,18000.0,2010.0,Red Cross,Pay per use,14.0,Motorized Pump,"(-21.971439626019542, 26.27553194329705)",Functioning
WP062,Well,Clean,50.0,12000.0,2011.0,Oxfam,Pay per use,13.0,Motorized Pump,"(-18.8856115942318, 27.49864824331343)",
WP063,Lake,Clean,38.0,11000.0,,USAID,Pay per use,29.0,Motorized Pump,,Not Functioning
WP064,Lake,Contaminated,11.0,15000.0,2019.0,Oxfam,Pay per use,5.0,Hand Pump,"(-23.417539785104598, 24.70022522722041)",Not Functioning
WP065,Well,Clean,46.0,12000.0,2001.0,Oxfam,Free,,Hand Pump,,Functioning
WP066,Well,Clean,40.0,16000.0,1996.0,UNICEF,Free,28.0,Motorized Pump,"(-19.59691215233915, 24.0751472211041)",Functioning
WP067,,Clean,52.0,11000.0,2018.0,Oxfam,Pay per use,6.0,Motorized Pump,"(-19.569268225601984, 23.34258963250739)",Functioning
WP068,Well,Clean,,,1993.0,Oxfam,Pay per use,31.0,Motorized Pump,"(-21.077726363975437, 20.78306562554874)",Functioning
WP069,Well,Clean,11.0,15000.0,2019.0,Red Cross,Pay per use,5.0,Motorized Pump,"(-21.065546819887405, 25.639791226665988)",Functioning
WP070,Well,Clean,48.0,11000.0,2020.0,Oxfam,Free,4.0,Hand Pump,"(-23.701124085303682, 22.309228469677613)",Not Functioning
WP071,Lake,Clean,21.0,10000.0,2001.0,Red Cross,Pay per use,23.0,Hand Pump,"(-19.08770102342696, 26.134955685165842)",Not Functioning
WP072,Lake,Contaminated,23.0,14000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-18.87439628930331, 21.59678738202306)",Not Functioning
WP073,River,Clean,58.0,10000.0,1996.0,World Bank,Pay per use,28.0,Motorized Pump,"(-18.638084113797696, 25.679777761002363)",Not Functioning
